,문장,혐오 여부
0,"솔직히 저런 대화는 남자들 사이에서 아무것도 아닌 대화지만 공개되는 순간 씹범죄자 되는 아이러니한 에피소드..
솔직히 친구들이랑 와 씨발 존나 따먹고싶다 ㄷㄷ; 강간하고싶다 하면서 성적 욕망이 담긴 섹드립 치는건 일상 다반사 아니냐?
꼴리면 꼴리는 말을 해야 적성이 풀리는 남자인것을 어떡하노 ㅠ",3
1,곤뇽이 되어가는군.....,0
2,imf로 우리나라 기업들 친중자본이 싹쓸어갔지 김영삼 김대중 이새끼들 중국새끼들 아닌지부터 조사해야됨,2
3,"여자가 약자라는 걸 ㅇㅈ해라

장애인이랑 동급이라고 생각하면 편해",3
4,윤총경은?,0
5,31번 환자는 해외ㆍ대남병원 갔다온적 없다는데 문재인 세력들이 뒤집어 씌우려함,1
6,@동태탕 드립 치는데 꼬박 꼬박 발끈하노..,1
7,@불지를깡도없는새 어맛 ㅋㅋ. 슨상님. ㅋ 좆물 지렸어라 ? ㅋㅋ,3
8,하! 저 개새,2
9,재앙이 욕하는건 못듣겠당께,0
10,마니 아프겠다 ㅠㅠ,0
11,"@익명7bd3e3 북한에 이념적으로 접근할 수 밖에 없다고 얘기하는데서 이미 아무짝에도 쓸모가 없는 구닥다리 인간인게 느껴지네

문재인 정권 그러니까 현 정권은 친북이 아니다 븅신아 친중이지 대외적으로는 민족주의를 앞세워서 북한에만 호의적인척 하지만 결국은 중국이 새롭게 호령하는 동아시아 질서에 편승해 이익을 얻을라한다 이거야 그리고 종북쟁이 새끼들 친북쟁이 새끼들 중에 사탕발림에 속아 넘어간 모지리 새끼들은 많을지 몰라도 분명 그 핵심세력들은 한국이 북한세력에 편입 되는걸 반기는 새끼는
결코 없을걸 오히려 한국 정부와의 협정을 통해 북한의 주권을 야금야금 챙기려는 새끼는 많은 반면에

북한이 어그로를 끄는 이유는 현 정권의 안정성이 그만큼 불안하기 때문이다",2
12,그러게 북한은 보통 지들한테 잘해주는 정권한테는 평화댄스 추기도 하는데 이렇게까지 홀대하는적이 없어서 당황했는데 ㅋ 북한이랑 좆도 커넥션이 없었으니 그럴만도 ㅋㅋㅋ,2
13,쓰시녀 커여워,0
14,아.. 진짜 간만에 육성으로 터졌다. 고맙다. 웃음줘서,1
15,극소수있긴함 근데 일본은 저거보다 더 좆같이생긴것들이 많이 있음 일뽕거르고 외모평균은 한녀가 낫다 예쁜애들은 일본이 ㄷㄷ하지만,2
16,@어머니의나라일본 이미경험중이잖아,2
17,틀딱새끼들이나 지랄들이지 20대 남자들 사이에서도 문재인 지지율 다시 오른거 모르냐? 틀딱소리 듣기 싫으면 닥치고나 있던가,3
18,사전투표 자체가 문제있을거같음 보관함 문제가 아니고 ㅋㅋ,1
19,멋지네~!,0
20,"나라가 쓰레기 되어가네...
개쓰레기들...",1
21,"이번불매운동도

짱깨들 공작이라고 생각했음 ㅋㅋㅋ

칭타오판매율 반사이익. 저짤

그리고 좀전에 중국버스 사고났는데 언급 주저리안하네",2
22,대변인하것네,2
23,"@장그레0000 응 나도 위안부 별로 안좋아하지만
위안부를 창녀로 통용하는건 너가 좆틀딱 정치병자라 그런듯ㅠ",1
24,하긴 n번방으로 모든 남자들을 잠재적 아니면 숨은 성범죄자로 매도하는건 모든 여자들을 창녀로 매도하는거랑 같은거야,3
25,@패트릭안토니우스 연구비가 미국에서 주로 나오겠지 그럼 미국 연구기관이 주고 멕시코대학일부,2
26,비하아닌가?,0
27,@익명1d33f5 난 김혜은인줄 알았다 ㅋㅋㅋ,1
28,뭐? 여자라고?,3
29,진씨도 중국성이지?,2
30,@자지서기직전 그건 남자도 그럼,3
31,ㅋㅋㅋㅋㅋ 골때리네,0
32,매국노들이네. 조선인들이 위안스카이보다 더 악독하네,1
33,"그럼 왜 소국 중국이 대국 미국에 내정간섭 국가전복 약탈하노?

식인종 대륙 헬중국인들 단체로 쿠루병 걸렸냐? 양심 없어?

아동성애 식인종 짱개들 다 헬 헬중국으로 꺼져라.",2
34,오오!!!!!! 축하한다 게이야,1
35,2천만원짜리 소변 ㅎㅎㅎㅎ,3
36,캬~,0
37,이런글보면 씁쓸한게 그럼 지금 야당넘들은 ㄹㅇ호구병신들인거네 ㅠㅠ,1
38,뭔가 찔리는게 많다는 거다 저런건,1
39,상남자네~,3
40,씨팩이네,0
41,"남자랑 여자는 애초에 평등하지가 않아 모든면에서 남자가 위위지 역사적으로도 전통적으로도 어쩔수없는

세상의 이치다 억지로 평등하게 만드려하니 문제가 생기는거지",3
42,멜라니아 몸매는 어후,3
43,;,0
44,겅솽인가 저 새끼 존나 얄밉게 생기지 않았냐?,1
45,2년만에 나라 쳐팔아먹은 역대급이노 저것들이 이명박사대강 욕하는데 수천조 말아먹은것들이 할말없음,1
46,"또 그거 해봐. 그거. 중국몽.

이제 중국 믿는 흑우들 없제?",2
47,"하 시발ㅋㅋㅋㅋㅋ
눈물날것 같아 ㅠ.ㅠ",0
48,엄마 미모 진정 실화?? 아기는 수리 크루즈 뺨 후려치노ㅋㅋㅋㅋㅋ,3
49,짱깨 뒤져라,2
50,전라도 뇬덜 특징 : 건방짐,0
51,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 마 자일리톨 많이 먹노?,0
52,"좌파들 맨날 우파보고 틀딱이라고 하더니
이젠 나이쳐먹고 지들이 틀딱됨 ㅋㅋㅋㅋ",1
53,콩튀김 먹어보고 싶다,3
54,"와 이걸로 내가 아까 일베갔는데

http://m.ilbe.com/view/11209498864",0
55,"@익명65569a ㄹㅇ임

ㅇㅂ를 했다면 이렇게까지 안됨",0
56,카카오 짱개껀데 아직도 카카오하는사람이있녀,2
57,시밤 일베,0
58,"ㄴㄴ 네델란드 헤이그나
미국 관타나모로 가시거나
장쩌민 진핑이
정은이등등이 청구서?보내서
그걸로 가실수도 있음 ㅎㅎㅎㅎ",2
59,"예산을514조로 급격히 올려도 그것도 다 모자라다는거지.
왜냐고?

북한퍼주고, 중국퍼주고 알게모르게
우리국민을 위해 쓰는게 아니고
조선족중국놈들과 중국과 북한을 위해 다 퍼주고 있던거거덩.

정권바꾸고 다 색출해서 사법처리하고 환수조치되도록 해야지",2
60,@익명d37043 한 3년 되지 않았을까,0
61,"""경상도""",0
62,미친 대깨문 좌빨 파시즘 국가. 반드시 처 죽여내야한다.,1
63,비질란테 ㅇㅂ,0
64,"멋진데!!!

전라도놈들은 저런소리 못하지.",0
65,"한 미국의 정보당국

줄여서 한미당국",2
66,와 씨발 형 이건 진짜 ㅇㅂ 먹어야함 ㅇㅂ 줄려고 로그인 까지함,1
67,아진짜 요새 2012일베만큼 재밌다 ㅈㄴ웃기노진짜,1
68,입만 살아 나불거리는 것 들과는 근본이 틀리지,1
69,실시간 인기 1위 가즈아,1
70,큰일났네 큰일났어,3
71,리얼리티 개쩌네 ㅋㅋㅋㅋㅋ,3
72,@저격게이는일베 새소식: 역전당함,1
73,"그럼 화교 출신이라는 말이노? 공타에공 중국이름이냐
저거 팩트임 구라임 ??? 설마 아니겠지",2
74,제발그냥 대한민국을 통치하세요 제발,1
75,미국이 티벳 독립 지원할 수도 있다고 본다,2
76,저런새끼들이 걸려서 부모한테 옮기면 not my fault 이따위개소리나 지껄이는새끼들임,1
77,@검버섯뜯어버리기 여자 시선도 남자가 존재해야 의미가있는거다 그걸 생각못하고 1처원적으로 여자 시선만 착안해서 헛짓꺼리하니 망하지,3
78,@그네옆방재앙 안물봄,0
79,"88년에 서울 올라왔는데, 2천년에 함 갔다가 미개함에 학을 떼고 안간지 20년..
담에 고향 부산 함 가야겠노..",0
80,금수저로 변해서 피부과 다닌데 ㅋㅋ,3
81,확 불질러 버릴까?,0
82,ㅈㄷㄷㅈㅎ,0
83,일평균 결제금액이 억단위라고???????? 시발 말이 안되는게 나도 제로페이 했다가 한달간 결제건이 한 건도 없어서 걍 때려치웠는데??,1
84,아조시랑 비밀친구 할래??,3
85,진심 천박하고 역겨운 새끼다.보지들은 왜 문벌구 자지를 그렇게 빨아대냐.시발거 다 뇌가 없는 좀비년들이라 그런가.,3
86,개씨팔년!!!,0
87,@일베불고렙 이게 왜 짱개글?,2
88,완전 북한이네,2
89,싹다잡아 쳐넣어 !! 꼬라지봐라 이게 나라냐 뭔 시발 지랄들을 하네,0
90,@Couneapu 븅신 ㅋㅋ,1
91,주제파악못하는건 전라도풍습이냐?유전이냐,0
92,이야 역시 일베다,1
93,그럼 공천을 똑바로해 병신아,1
94,@허벌챙년조민씹보지 문재인도 보는 눈은 있지않냐 훠훠,3
95,의자에 앉혀놓고 손 뒤로 뭌은 다음 야구방망이로 대가리 존나 쎄게 때리고 싶다.,1
96,이새낀 천잰데,0
97,"황교안 대 이제명

한국 대 브라질 정도임",1
98,매국노는 교수형이 답이다,2
99,송이 5번 가능,1
100,@홍어싸만코 하준숴이,0
101,모자이크!!,3
102,"근데 경제 발전 부분은 두명다 맞는말 아니냐

강대국을 최대한 이용해야 되는것도 맞는데 다른나라와도 협력은 해야 됨",1
103,더 맞아야..,0
104,"대림동 환자없는 이유. 검사를 안함 ㅋㅋ
중증으로 죽기 전까지 열심히 도망다님",1
105,미안하다 그리고 고맙다 라고 한 놈에게 분노해라,0
106,마치 대학생이 사춘기 중이병 걸린 애를 보듯 한국을 잘알거다,1
107,"@익명ddc30d 시발 지말을 지말로 반박하네 ㅋㅋㅋㅋㅋ

그러면 니말대로 국민특성이 그래서 그런것도 문재인 때문이냐? ㅋㅋㅋㅋㅋㅋㅋㅋ

경제의 경자는 니 말하는 수준만 봐도 나보다 훨 못배운 티나는게 경제경제 거리네 ㅋㅋㅋ 경재학원론이라도 때고 경제경제 거리냐 고졸새끼야? ㅋㅋㅋㅋ",1
108,정우성자지에 박히고 싶은 보지가 한트럭이다이기,3
